a,"[15171, 'allswell', 'asyoulikeit', 'comedy_errors', 'cymbeline', 'lll', 'measure', 'merry_wives', 'merchant', 'midsummer', 'much_ado', 'pericles', 'taming_shrew', 'tempest', 'troilus_cressida', 'twelfth_night', 'two_gentlemen', 'winters_tale', '1henryiv', '2henryiv', 'henryv', '1henryvi', '2henryvi', '3henryvi', 'henryviii', 'john', 'richardii', 'richardiii', 'cleopatra', 'coriolanus', 'hamlet', 'julius_caesar', 'lear', 'macbeth', 'othello', 'romeo_juliet', 'timon', 'titus', 'LoversComplaint', 'RapeOfLucrece', 'VenusAndAdonis', 'elegy', 'sonnetI', 'sonnetII', 'sonnetIV', 'sonnetV', 'sonnetVII', 'sonnetIX', 'sonnetXIII', 'sonnetXV', 'sonnetXVI', 'sonnetXVII', 'sonnetXVIII', 'sonnetXX', 'sonnetXXI', 'sonnetXXV', 'sonnetXXVII', 'sonnetXXX', 'sonnetXXXI', 'sonnetXXXII', 'sonnetXXXIII', 'sonnetXXXIV', 'sonnetXXXV', 'sonnetXXXVI', 'sonnetXXXVII', 'sonnetXXXIX', 'sonnetXL', 'sonnetXLI', 'sonnetXLII', 'sonnetXLVI', 'sonnetXLVII', 'sonnetXLVIII', 'sonnetL', 'sonnetLIV', 'sonnetLVI', 'sonnetLVII', 'sonnetLIX', 'sonnetLXIII', 'sonnetLXIV', 'sonnetLXV', 'sonnetLXVI', 'sonnetLXVIII', 'sonnetLXX', 'sonnetLXXIV', 'sonnetLXXV', 'sonnetLXXVI', 'sonnetLXXVII', 'sonnetLXXVIII', 'sonnetLXXIX', 'sonnetLXXX', 'sonnetLXXXI', 'sonnetLXXXII', 'sonnetLXXXIII', 'sonnetLXXXIV', 'sonnetLXXXVI', 'sonnetLXXXVII', 'sonnetLXXXVIII', 'sonnetLXXXIX', 'sonnetXC', 'sonnetXCI', 'sonnetXCII', 'sonnetXCIII', 'sonnetXCV', 'sonnetXCVI', 'sonnetXCVII', 'sonnetXCVIII', 'sonnetXCIX', 'sonnetC', 'sonnetCI', 'sonnetCIII', 'sonnetCIV', 'sonnetCV', 'sonnetCVI', 'sonnetCVII', 'sonnetCX', 'sonnetCXI', 'sonnetCXIV', 'sonnetCXV', 'sonnetCXVIII', 'sonnetCXX', 'sonnetCXXIII', 'sonnetCXXV', 'sonnetCXXVII', 'sonnetCXXIX', 'sonnetCXXX', 'sonnetCXXXI', 'sonnetCXXXIII', 'sonnetCXXXIV', 'sonnetCXXXVI', 'sonnetCXXXVII', 'sonnetCXLI', 'sonnetCXLIII', 'sonnetCXLIV', 'sonnetCXLV', 'sonnetCXLVI', 'sonnetCXLVII', 'sonnetCLII', 'sonnetCLIII', 'sonnetCLIV']"
abandoned,"[2, 'allswell', 'titus']"
abed,"[10, 'allswell', 'asyoulikeit', 'cymbeline', 'twelfth_night', 'henryv', 'coriolanus', 'macbeth', 'othello', 'romeo_juliet', 'titus']"
abhorred,"[10, 'allswell', 'cymbeline', 'tempest', 'hamlet', 'lear', 'macbeth', 'romeo_juliet', 'timon', 'titus']"
ability,"[9, 'allswell', 'much_ado', 'troilus_cressida', 'twelfth_night', 'winters_tale', '2henryiv', 'hamlet', 'othello']"
able,"[60, 'allswell', 'asyoulikeit', 'comedy_errors', 'measure', 'merry_wives', 'merchant', 'midsummer', 'pericles', 'taming_shrew', 'troilus_cressida', 'two_gentlemen', 'winters_tale', '1henryiv', '2henryiv', 'henryv', '1henryvi', '2henryvi', '3henryvi', 'henryviii', 'richardii', 'cleopatra', 'coriolanus', 'hamlet', 'lear', 'romeo_juliet', 'timon', 'titus', 'sonnetLXXXV']"
about,"[416, 'allswell', 'asyoulikeit', 'comedy_errors', 'cymbeline', 'lll', 'measure', 'merry_wives', 'merchant', 'midsummer', 'much_ado', 'pericles', 'taming_shrew', 'tempest', 'troilus_cressida', 'twelfth_night', 'two_gentlemen', 'winters_tale', '1henryiv', '2henryiv', 'henryv', '1henryvi', '2henryvi', '3henryvi', 'henryviii', 'john', 'richardii', 'richardiii', 'cleopatra', 'coriolanus', 'hamlet', 'julius_caesar', 'lear', 'macbeth', 'othello', 'romeo_juliet', 'timon', 'titus', 'RapeOfLucrece', 'VenusAndAdonis', 'elegy', 'sonnetCXIII']"
above,"[164, 'allswell', 'asyoulikeit', 'comedy_errors', 'cymbeline', 'lll', 'measure', 'merry_wives', 'merchant', 'much_ado', 'pericles', 'taming_shrew', 'tempest', 'troilus_cressida', 'twelfth_night', 'two_gentlemen', 'winters_tale', '1henryiv', '1henryvi', '2henryvi', '3henryvi', 'henryviii', 'john', 'richardii', 'richardiii', 'cleopatra', 'coriolanus', 'hamlet', 'julius_caesar', 'lear', 'macbeth', 'othello', 'romeo_juliet', 'timon', 'titus', 'LoversComplaint', 'VenusAndAdonis', 'elegy', 'sonnetLXXXVI', 'sonnetXCI', 'sonnetCX', 'sonnetCXXII']"
absent,"[32, 'allswell', 'asyoulikeit', 'cymbeline', 'measure', 'merchant', 'taming_shrew', 'twelfth_night', 'winters_tale', '1henryiv', '3henryvi', 'henryviii', 'john', 'richardii', 'hamlet', 'julius_caesar', 'macbeth', 'othello', 'sonnetXLI', 'sonnetLXXXIX', 'sonnetXCVIII']"
abstract,"[6, 'allswell', 'merry_wives', 'john', 'richardiii', 'cleopatra', 'hamlet']"
abundance,"[14, 'allswell', 'merchant', 'pericles', 'tempest', '1henryiv', '2henryiv', 'john', 'coriolanus', 'sonnetI', 'sonnetXXIII', 'sonnetXXXVII', 'sonnetCXXXV']"
abuse,"[53, 'allswell', 'cymbeline', 'measure', 'merry_wives', 'pericles', 'tempest', 'twelfth_night', 'winters_tale', '2henryiv', 'henryv', '1henryvi', '2henryvi', '3henryvi', 'cleopatra', 'hamlet', 'julius_caesar', 'lear', 'macbeth', 'othello', 'romeo_juliet', 'timon', 'RapeOfLucrece', 'VenusAndAdonis', 'sonnetIV', 'sonnetXLII', 'sonnetCXXXIV']"
abused,"[47, 'allswell', 'asyoulikeit', 'comedy_errors', 'cymbeline', 'lll', 'measure', 'merry_wives', 'midsummer', 'much_ado', 'taming_shrew', 'twelfth_night', 'winters_tale', 'henryv', 'henryviii', 'richardii', 'richardiii', 'cleopatra', 'coriolanus', 'hamlet', 'lear', 'othello', 'romeo_juliet', 'titus', 'RapeOfLucrece', 'sonnetLXXXII']"
accessary,"[5, 'allswell', 'richardiii', 'RapeOfLucrece', 'sonnetXXXV']"
accomplished,"[6, 'allswell', 'cymbeline', 'merchant', 'taming_shrew', 'twelfth_night']"
accordingly,"[9, 'allswell', 'cymbeline', 'measure', 'much_ado', '1henryiv', '1henryvi', 'john', 'cleopatra']"
accuse,"[37, 'allswell', 'cymbeline', 'measure', 'merry_wives', 'much_ado', 'pericles', 'winters_tale', '1henryvi', '2henryvi', 'henryviii', 'richardii', 'richardiii', 'cleopatra', 'coriolanus', 'hamlet', 'lear', 'titus', 'sonnetCXVII', 'sonnetCLII']"
accused,"[24, 'allswell', 'measure', 'merchant', 'much_ado', 'winters_tale', '2henryvi', 'henryviii', 'richardii', 'richardiii', 'coriolanus', 'timon']"
achieves,"[1, 'allswell']"
acknowledge,"[19, 'allswell', 'comedy_errors', 'measure', 'merchant', 'much_ado', 'tempest', 'winters_tale', '1henryiv', '2henryiv', 'henryv', 'john', 'cleopatra', 'lear', 'romeo_juliet', 'timon', 'sonnetXXXVI']"
acordo,"[1, 'allswell']"
acquaint,"[22, 'allswell', 'asyoulikeit', 'measure', 'much_ado', 'winters_tale', '2henryiv', 'john', 'richardiii', 'hamlet', 'lear', 'macbeth', 'romeo_juliet', 'titus']"
acquaintance,"[40, 'allswell', 'asyoulikeit', 'cymbeline', 'merry_wives', 'merchant', 'midsummer', 'much_ado', 'pericles', 'taming_shrew', 'tempest', 'troilus_cressida', 'twelfth_night', '1henryiv', '2henryiv', 'henryviii', 'john', 'coriolanus', 'hamlet', 'lear', 'othello', 'romeo_juliet', 'RapeOfLucrece', 'elegy', 'sonnetLXXVII', 'sonnetLXXXIX']"
acquainted,"[41, 'allswell', 'asyoulikeit', 'comedy_errors', 'cymbeline', 'lll', 'measure', 'merry_wives', 'merchant', 'pericles', 'taming_shrew', 'troilus_cressida', 'two_gentlemen', '2henryiv', 'henryviii', 'john', 'richardiii', 'cleopatra', 'julius_caesar', 'othello', 'timon', 'RapeOfLucrece', 'sonnetXX', 'sonnetLXXXVIII']"
acquired,"[2, 'allswell', 'troilus_cressida']"
across,"[7, 'allswell', 'comedy_errors', 'twelfth_night', 'winters_tale', 'hamlet', 'julius_caesar', 'RapeOfLucrece']"
act,"[313, 'allswell', 'asyoulikeit', 'comedy_errors', 'cymbeline', 'lll', 'measure', 'merry_wives', 'merchant', 'midsummer', 'much_ado', 'pericles', 'taming_shrew', 'tempest', 'troilus_cressida', 'twelfth_night', 'two_gentlemen', 'winters_tale', '1henryiv', '2henryiv', 'henryv', '1henryvi', '2henryvi', '3henryvi', 'henryviii', 'john', 'richardii', 'richardiii', 'cleopatra', 'coriolanus', 'hamlet', 'julius_caesar', 'lear', 'macbeth', 'othello', 'romeo_juliet', 'timon', 'titus', 'RapeOfLucrece', 'VenusAndAdonis', 'elegy', 'sonnetCLII']"
action,"[119, 'allswell', 'asyoulikeit', 'cymbeline', 'lll', 'measure', 'merry_wives', 'midsummer', 'much_ado', 'pericles', 'taming_shrew', 'tempest', 'troilus_cressida', 'twelfth_night', 'two_gentlemen', 'winters_tale', '1henryiv', '2henryiv', 'henryv', '2henryvi', 'henryviii', 'john', 'cleopatra', 'coriolanus', 'hamlet', 'julius_caesar', 'lear', 'macbeth', 'othello', 'romeo_juliet', 'titus', 'RapeOfLucrece', 'sonnetLXV', 'sonnetCXXIX']"
actor,"[13, 'allswell', 'asyoulikeit', 'measure', 'midsummer', 'richardii', 'cleopatra', 'coriolanus', 'hamlet', 'RapeOfLucrece', 'sonnetXXIII']"
acts,"[26, 'allswell', 'asyoulikeit', 'cymbeline', 'pericles', 'troilus_cressida', 'winters_tale', '2henryiv', 'henryv', '1henryvi', '2henryvi', 'john', 'richardii', 'richardiii', 'cleopatra', 'coriolanus', 'hamlet', 'macbeth', 'romeo_juliet', 'titus', 'VenusAndAdonis']"
acutely,"[1, 'allswell']"
add,"[50, 'allswell', 'cymbeline', 'lll', 'measure', 'merchant', 'much_ado', 'pericles', 'taming_shrew', 'troilus_cressida', 'twelfth_night', 'winters_tale', '2henryiv', 'henryv', '1henryvi', '2henryvi', '3henryvi', 'henryviii', 'john', 'richardii', 'cleopatra', 'julius_caesar', 'lear', 'macbeth', 'othello', 'romeo_juliet', 'timon', 'RapeOfLucrece', 'sonnetLXIX', 'sonnetLXXXIV', 'sonnetLXXXV', 'sonnetCXXXV']"
addition,"[27, 'allswell', 'comedy_errors', 'much_ado', 'troilus_cressida', '1henryiv', 'henryv', 'john', 'cleopatra', 'coriolanus', 'hamlet', 'julius_caesar', 'lear', 'macbeth', 'othello', 'sonnetXX', 'sonnetCXXXV']"
additions,"[5, 'allswell', 'merry_wives', 'troilus_cressida', 'lear', 'LoversComplaint']"
address,"[11, 'allswell', 'merry_wives', 'midsummer', 'troilus_cressida', 'twelfth_night', 'winters_tale', '2henryiv', '2henryvi', 'hamlet', 'lear']"
adieu,"[102, 'allswell', 'asyoulikeit', 'cymbeline', 'lll', 'measure', 'merry_wives', 'merchant', 'midsummer', 'much_ado', 'pericles', 'taming_shrew', 'troilus_cressida', 'twelfth_night', 'two_gentlemen', 'winters_tale', '1henryiv', 'henryv', '1henryvi', '3henryvi', 'john', 'richardii', 'richardiii', 'cleopatra', 'coriolanus', 'hamlet', 'lear', 'macbeth', 'othello', 'romeo_juliet', 'VenusAndAdonis', 'sonnetLVII']"
admirable,"[15, 'allswell', 'cymbeline', 'merry_wives', 'midsummer', 'troilus_cressida', 'twelfth_night', 'winters_tale', 'hamlet', 'lear', 'othello', 'timon']"
admiration,"[14, 'allswell', 'cymbeline', 'tempest', 'winters_tale', 'henryv', 'henryviii', 'hamlet', 'lear', 'RapeOfLucrece']"
admiringly,"[2, 'allswell']"
admitted,"[14, 'allswell', 'measure', 'twelfth_night', '2henryiv', '2henryvi', 'richardiii', 'cleopatra', 'coriolanus', 'timon', 'titus', 'sonnetCXXXVI']"
adoption,"[4, 'allswell', 'cymbeline', 'merry_wives', 'hamlet']"
adoptious,"[1, 'allswell']"
adore,"[15, 'allswell', 'cymbeline', 'lll', 'tempest', 'twelfth_night', 'two_gentlemen', 'cleopatra', 'lear', 'titus', 'RapeOfLucrece', 'sonnetVII']"
advanced,"[19, 'allswell', 'pericles', 'tempest', 'troilus_cressida', 'twelfth_night', '2henryiv', 'john', 'coriolanus', 'hamlet', 'lear', 'romeo_juliet', 'titus']"
advancing,"[10, 'allswell', 'asyoulikeit', 'cymbeline', 'lll', 'midsummer', 'richardiii', 'hamlet', 'othello']"
advantage,"[77, 'allswell', 'cymbeline', 'measure', 'merry_wives', 'merchant', 'midsummer', 'pericles', 'tempest', 'troilus_cressida', 'twelfth_night', 'two_gentlemen', '1henryiv', '2henryiv', 'henryv', '1henryvi', '2henryvi', 'henryviii', 'john', 'richardii', 'richardiii', 'cleopatra', 'coriolanus', 'hamlet', 'julius_caesar', 'lear', 'macbeth', 'othello', 'titus', 'LoversComplaint', 'VenusAndAdonis', 'sonnetLXIV', 'sonnetLXVII', 'sonnetCLIII']"
adversaries,"[11, 'allswell', 'taming_shrew', '1henryiv', 'richardii', 'richardiii', 'coriolanus']"
adversarys,"[3, 'allswell', '1henryvi', 'richardiii']"
adverse,"[12, 'allswell', 'comedy_errors', 'measure', 'much_ado', 'twelfth_night', '1henryvi', 'john', 'richardii', 'richardiii', 'sonnetXXXV']"
advertisement,"[4, 'allswell', 'much_ado', '1henryiv']"
advice,"[47, 'allswell', 'cymbeline', 'measure', 'merchant', 'pericles', 'taming_shrew', 'tempest', 'troilus_cressida', 'two_gentlemen', 'winters_tale', '2henryiv', 'henryv', '2henryvi', 'john', 'richardii', 'richardiii', 'cleopatra', 'hamlet', 'lear', 'macbeth', 'othello', 'titus', 'LoversComplaint', 'RapeOfLucrece']"
advise,"[41, 'allswell', 'cymbeline', 'measure', 'much_ado', 'pericles', 'taming_shrew', 'twelfth_night', 'two_gentlemen', 'winters_tale', 'henryv', 'henryviii', 'cleopatra', 'coriolanus', 'hamlet', 'lear', 'macbeth', 'othello', 'romeo_juliet', 'titus']"
afar,"[21, 'allswell', 'merry_wives', 'much_ado', 'winters_tale', '1henryiv', '1henryvi', '2henryvi', '3henryvi', 'richardiii', 'cleopatra', 'coriolanus', 'hamlet', 'lear', 'timon', 'RapeOfLucrece', 'sonnetCXLIII']"
afeard,"[31, 'allswell', 'cymbeline', 'lll', 'merry_wives', 'merchant', 'midsummer', 'taming_shrew', 'tempest', 'troilus_cressida', 'winters_tale', '1henryiv', 'henryv', '1henryvi', '2henryvi', 'john', 'cleopatra', 'hamlet', 'macbeth', 'romeo_juliet', 'RapeOfLucrece']"
affairs,"[62, 'allswell', 'asyoulikeit', 'cymbeline', 'measure', 'merry_wives', 'merchant', 'much_ado', 'troilus_cressida', 'twelfth_night', 'two_gentlemen', 'winters_tale', '1henryiv', '2henryiv', 'henryv', '1henryvi', '2henryvi', '3henryvi', 'henryviii', 'john', 'richardii', 'richardiii', 'cleopatra', 'coriolanus', 'hamlet', 'julius_caesar', 'lear', 'macbeth', 'othello', 'RapeOfLucrece', 'sonnetLVII', 'sonnetCLI']"
affect,"[24, 'allswell', 'lll', 'measure', 'much_ado', 'taming_shrew', 'troilus_cressida', 'twelfth_night', 'two_gentlemen', '2henryiv', '1henryvi', '2henryvi', 'henryviii', 'coriolanus', 'lear', 'othello', 'timon', 'titus', 'elegy']"
affection,"[79, 'allswell', 'asyoulikeit', 'comedy_errors', 'cymbeline', 'lll', 'measure', 'merry_wives', 'merchant', 'midsummer', 'much_ado', 'taming_shrew', 'tempest', 'troilus_cressida', 'twelfth_night', 'two_gentlemen', 'winters_tale', '2henryiv', '1henryvi', 'henryviii', 'cleopatra', 'coriolanus', 'hamlet', 'julius_caesar', 'lear', 'macbeth', 'othello', 'romeo_juliet', 'timon', 'LoversComplaint', 'RapeOfLucrece', 'VenusAndAdonis', 'elegy']"
afford,"[22, 'allswell', 'lll', 'much_ado', 'winters_tale', '1henryiv', '3henryvi', 'henryviii', 'richardii', 'richardiii', 'romeo_juliet', 'timon', 'titus', 'RapeOfLucrece', 'sonnetLXXIX']"
afoot,"[25, 'allswell', 'measure', 'much_ado', 'troilus_cressida', '1henryiv', '2henryiv', 'henryv', '2henryvi', '3henryvi', 'richardii', 'coriolanus', 'hamlet', 'julius_caesar', 'lear', 'macbeth', 'titus']"
afraid,"[44, 'allswell', 'comedy_errors', 'cymbeline', 'merry_wives', 'midsummer', 'taming_shrew', 'tempest', 'twelfth_night', '1henryiv', '1henryvi', '2henryvi', 'henryviii', 'john', 'richardiii', 'cleopatra', 'hamlet', 'julius_caesar', 'macbeth', 'othello', 'romeo_juliet', 'LoversComplaint', 'VenusAndAdonis']"
after,"[428, 'allswell', 'asyoulikeit', 'comedy_errors', 'cymbeline', 'lll', 'measure', 'merry_wives', 'merchant', 'midsummer', 'much_ado', 'pericles', 'taming_shrew', 'tempest', 'troilus_cressida', 'twelfth_night', 'two_gentlemen', 'winters_tale', '1henryiv', '2henryiv', 'henryv', '1henryvi', '2henryvi', '3henryvi', 'henryviii', 'john', 'richardii', 'richardiii', 'cleopatra', 'coriolanus', 'hamlet', 'julius_caesar', 'lear', 'macbeth', 'othello', 'romeo_juliet', 'timon', 'titus', 'RapeOfLucrece', 'VenusAndAdonis', 'elegy', 'sonnetXIII', 'sonnetXXV', 'sonnetLIII', 'sonnetLXXI', 'sonnetLXXII', 'sonnetLXXIII', 'sonnetXCVII', 'sonnetXCVIII', 'sonnetCXLIII', 'sonnetCLII']"
afterdebts,"[1, 'allswell']"
afternoon,"[27, 'allswell', 'comedy_errors', 'lll', 'measure', 'merchant', 'taming_shrew', 'tempest', '1henryiv', '2henryiv', '1henryvi', 'john', 'richardiii', 'coriolanus', 'hamlet', 'macbeth', 'romeo_juliet']"
afterward,"[8, 'allswell', 'comedy_errors', 'cymbeline', 'measure', 'merchant', 'much_ado', 'two_gentlemen', 'richardiii']"
again,"[800, 'allswell', 'asyoulikeit', 'comedy_errors', 'cymbeline', 'lll', 'measure', 'merry_wives', 'merchant', 'midsummer', 'much_ado', 'pericles', 'taming_shrew', 'tempest', 'troilus_cressida', 'twelfth_night', 'two_gentlemen', 'winters_tale', '1henryiv', '2henryiv', 'henryv', '1henryvi', '2henryvi', '3henryvi', 'henryviii', 'john', 'richardii', 'richardiii', 'cleopatra', 'coriolanus', 'hamlet', 'julius_caesar', 'lear', 'macbeth', 'othello', 'romeo_juliet', 'timon', 'titus', 'LoversComplaint', 'RapeOfLucrece', 'VenusAndAdonis', 'elegy', 'sonnetXIII', 'sonnetXXII', 'sonnetXLV', 'sonnetLVI', 'sonnetLXXVI', 'sonnetLXXIX', 'sonnetLXXXVII', 'sonnetCIX']"
